symbol	tx_id	tx_biotype	exon_id	exon_rank
0610005C13Rik	0610005C13Rik	antisense	NA	NA
0610006L08Rik	0610006L08Rik	lincRNA	NA	NA
0610009B22Rik	0610009B22Rik	protein_coding	NA	NA
0610009E02Rik	0610009E02Rik	processed_transcript	NA	NA
0610009L18Rik	0610009L18Rik	bidirectional_promoter_lncRNA	NA	NA
0610010F05Rik	0610010F05Rik	protein_coding	NA	NA
0610010K14Rik	0610010K14Rik	protein_coding	NA	NA
0610012D04Rik	0610012D04Rik	antisense	NA	NA
0610012G03Rik	0610012G03Rik	protein_coding	NA	NA
0610025J13Rik	0610025J13Rik	antisense	NA	NA
0610030E20Rik	0610030E20Rik	protein_coding	NA	NA
0610030E20Rik	0610030E20Rik	protein_coding	NA	NA
0610031O16Rik	0610031O16Rik	antisense	NA	NA
0610033M10Rik	0610033M10Rik	lincRNA	NA	NA
0610038B21Rik	0610038B21Rik	antisense	NA	NA
0610039K10Rik	0610039K10Rik	antisense	NA	NA
0610040B10Rik	0610040B10Rik	antisense	NA	NA
0610040F04Rik	0610040F04Rik	antisense	NA	NA
0610040J01Rik	0610040J01Rik	protein_coding	NA	NA
0610043K17Rik	0610043K17Rik	lincRNA	NA	NA
0710001A04Rik	0710001A04Rik	antisense	NA	NA
1010001B22Rik	1010001B22Rik	lincRNA	NA	NA
1100001I12Rik	1100001I12Rik	lincRNA	NA	NA
1100001I12Rik	1100001I12Rik	lncRNA	NA	NA
1110002E22Rik	1110002E22Rik	protein_coding	NA	NA
1110002J07Rik	1110002J07Rik	lincRNA	NA	NA
1110002L01Rik	1110002L01Rik	antisense	NA	NA
1110002O04Rik	1110002O04Rik	lincRNA	NA	NA
1110003F10Rik	1110003F10Rik	TEC	NA	NA
1110004F10Rik	1110004F10Rik	protein_coding	NA	NA
1110006O24Rik	1110006O24Rik	lincRNA	NA	NA
1110008E08Rik	1110008E08Rik	lincRNA	NA	NA
1110008P14Rik	1110008P14Rik	protein_coding	NA	NA
1110012L19Rik	1110012L19Rik	protein_coding	NA	NA
1110013H19Rik	1110013H19Rik	lincRNA	NA	NA
1110015O18Rik	1110015O18Rik	lincRNA	NA	NA
1110017D15Rik	1110017D15Rik	protein_coding	NA	NA
1110018N20Rik	1110018N20Rik	processed_transcript	NA	NA
1110019B22Rik	1110019B22Rik	lincRNA	NA	NA
1110019D14Rik	1110019D14Rik	lincRNA	NA	NA
1110020A21Rik	1110020A21Rik	bidirectional_promoter_lncRNA	NA	NA
1110025L11Rik	1110025L11Rik	protein_coding	NA	NA
1110025M09Rik	1110025M09Rik	TEC	NA	NA
1110028F11Rik	1110028F11Rik	sense_intronic	NA	NA
1110028F18Rik	1110028F18Rik	lincRNA	NA	NA
1110032A03Rik	1110032A03Rik	protein_coding	NA	NA
1110032F04Rik	1110032F04Rik	protein_coding	NA	NA
1110035H17Rik	1110035H17Rik	antisense	NA	NA
1110038B12Rik	1110038B12Rik	processed_transcript	NA	NA
1110038F14Rik	1110038F14Rik	protein_coding	NA	NA
1110046J04Rik	1110046J04Rik	antisense	NA	NA
1110051M20Rik	1110051M20Rik	protein_coding	NA	NA
1110057P08Rik	1110057P08Rik	protein_coding	NA	NA
1110059E24Rik	1110059E24Rik	protein_coding	NA	NA
1110059G10Rik	1110059G10Rik	protein_coding	NA	NA
1110060G06Rik	1110060G06Rik	TEC	NA	NA
1110065P20Rik	1110065P20Rik	protein_coding	NA	NA
1190001M18Rik	1190001M18Rik	lincRNA	NA	NA
1190005I06Rik	1190005I06Rik	protein_coding	NA	NA
1190007I07Rik	1190007I07Rik	protein_coding	NA	NA
1190028D05Rik	1190028D05Rik	lincRNA	NA	NA
1200007C13Rik	1200007C13Rik	lincRNA	NA	NA
1300002E11Rik	1300002E11Rik	lincRNA	NA	NA
1300014J16Rik	1300014J16Rik	lincRNA	NA	NA
1300017J02Rik	1300017J02Rik	protein_coding	NA	NA
1500002C15Rik	1500002C15Rik	antisense	NA	NA
1500002F19Rik	1500002F19Rik	processed_transcript	NA	NA
1500004A13Rik	1500004A13Rik	processed_transcript	NA	NA
1500005C15Rik	1500005C15Rik	TEC	NA	NA
1500009C09Rik	1500009C09Rik	protein_coding	NA	NA
1500009L16Rik	1500009L16Rik	protein_coding	NA	NA
1500011B03Rik	1500011B03Rik	protein_coding	NA	NA
1500012K07Rik	1500012K07Rik	processed_transcript	NA	NA
1500015A07Rik	1500015A07Rik	antisense	NA	NA
1500015L24Rik	1500015L24Rik	lincRNA	NA	NA
1500026H17Rik	1500026H17Rik	bidirectional_promoter_lncRNA	NA	NA
1500032F14Rik	1500032F14Rik	lincRNA	NA	NA
1500032F14Rik	1500032F14Rik	lncRNA	NA	NA
1500035N22Rik	1500035N22Rik	lincRNA	NA	NA
