Class	Length	Reads
Clean_Reads	15	586544
Clean_Reads	16	1288867
Clean_Reads	17	578914
Clean_Reads	18	458759
Clean_Reads	19	490388
Clean_Reads	20	370899
Clean_Reads	21	378104
Clean_Reads	22	484018
Clean_Reads	23	379440
Clean_Reads	24	318236
Clean_Reads	25	279044
Clean_Reads	26	294099
Clean_Reads	27	245520
Clean_Reads	28	245779
Clean_Reads	29	262169
Clean_Reads	30	311758
Clean_Reads	31	512699
Clean_Reads	32	349140
Clean_Reads	33	479561
Clean_Reads	34	198966
Clean_Reads	35	157053
Clean_Reads	36	127905
Clean_Reads	37	153863
Clean_Reads	38	122834
Clean_Reads	39	201002
Clean_Reads	40	140427
Clean_Reads	41	241725
Clean_Reads	42	213862
Clean_Reads	43	139213
Clean_Reads	44	120422
Clean_Reads	45	66724
Match_Genome	15	585927
Match_Genome	16	1276884
Match_Genome	17	441137
Match_Genome	18	359354
Match_Genome	19	359417
Match_Genome	20	221970
Match_Genome	21	216027
Match_Genome	22	327871
Match_Genome	23	214807
Match_Genome	24	141444
Match_Genome	25	154195
Match_Genome	26	173671
Match_Genome	27	123368
Match_Genome	28	117572
Match_Genome	29	145089
Match_Genome	30	190067
Match_Genome	31	378524
Match_Genome	32	232902
Match_Genome	33	390442
Match_Genome	34	134648
Match_Genome	35	98145
Match_Genome	36	77428
Match_Genome	37	105377
Match_Genome	38	62045
Match_Genome	39	154912
Match_Genome	40	75662
Match_Genome	41	142045
Match_Genome	42	85275
Match_Genome	43	65232
Match_Genome	44	76752
Match_Genome	45	39492
miRBase-miRNA_Match_Genome	15	6421.00
miRBase-miRNA_Match_Genome	16	5826.00
miRBase-miRNA_Match_Genome	17	1687.00
miRBase-miRNA_Match_Genome	18	1595.00
miRBase-miRNA_Match_Genome	19	3992.00
miRBase-miRNA_Match_Genome	20	17519.00
miRBase-miRNA_Match_Genome	21	55573.00
miRBase-miRNA_Match_Genome	22	139454.00
miRBase-miRNA_Match_Genome	23	72799.00
miRBase-miRNA_Match_Genome	24	10603.00
miRBase-miRNA_Match_Genome	25	1219.00
miRBase-miRNA_Match_Genome	26	184.00
miRBase-miRNA_Match_Genome	27	59.00
miRBase-miRNA_Match_Genome	28	26.00
miRBase-miRNA_Match_Genome	29	35.00
miRBase-miRNA_Match_Genome	30	35.00
miRBase-miRNA_Match_Genome	31	29.00
miRBase-miRNA_Match_Genome	32	12.00
miRBase-miRNA_Match_Genome	33	15.00
miRBase-miRNA_Match_Genome	34	13.00
miRBase-miRNA_Match_Genome	35	5.00
miRBase-miRNA_Match_Genome	37	3.00
miRBase-miRNA_Match_Genome	38	5.00
miRBase-miRNA_Match_Genome	39	2.00
miRBase-miRNA_Match_Genome	40	5.00
miRBase-miRNA_Match_Genome	41	1.00
miRBase-miRNA_Match_Genome	42	2.00
miRBase-miRNA_Unmatch_Genome	20	1.00
rRNAdb-rRNA_Match_Genome	15	118514.00
rRNAdb-rRNA_Match_Genome	16	89511.00
rRNAdb-rRNA_Match_Genome	17	80795.00
rRNAdb-rRNA_Match_Genome	18	87343.00
rRNAdb-rRNA_Match_Genome	19	99732.00
rRNAdb-rRNA_Match_Genome	20	65709.00
rRNAdb-rRNA_Match_Genome	21	48030.00
rRNAdb-rRNA_Match_Genome	22	42450.00
rRNAdb-rRNA_Match_Genome	23	39188.00
rRNAdb-rRNA_Match_Genome	24	42837.00
rRNAdb-rRNA_Match_Genome	25	40799.00
rRNAdb-rRNA_Match_Genome	26	31176.00
rRNAdb-rRNA_Match_Genome	27	30999.00
rRNAdb-rRNA_Match_Genome	28	31274.00
rRNAdb-rRNA_Match_Genome	29	28041.00
rRNAdb-rRNA_Match_Genome	30	29029.00
rRNAdb-rRNA_Match_Genome	31	25318.00
rRNAdb-rRNA_Match_Genome	32	33733.00
rRNAdb-rRNA_Match_Genome	33	47582.00
rRNAdb-rRNA_Match_Genome	34	29618.00
rRNAdb-rRNA_Match_Genome	35	31909.00
rRNAdb-rRNA_Match_Genome	36	37561.00
rRNAdb-rRNA_Match_Genome	37	71734.00
